Feature,Importance
V14,0.3031830186210918
V10,0.10767150016867423
V4,0.0921466481790641
V17,0.0912617650631262
V3,0.08586226991553061
V12,0.0834284800790291
V16,0.050881695080973524
V2,0.027093218000084678
V9,0.02376880401630655
V7,0.019429188334953353
V11,0.01825422520121859
V21,0.009772127345437972
V1,0.008280316695260487
Time,0.007798219693123176
V27,0.007669316022998847
V8,0.006594618050481119
V18,0.00523655220238321
V19,0.005014537715652552
V6,0.004956666531695721
V28,0.00488994696972253
V13,0.004497749069484486
Amount,0.0041421045439585715
V15,0.00407475526720921
V5,0.003750878880031869
V23,0.0036347600717709727
V26,0.003632671567026964
V22,0.0035714881586782466
V25,0.0034452565714015314
V20,0.0031340659302418563
V24,0.0029231560533879725
